fileName,groupName,attributeName,attributeValue
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,14
Mroz.csv,work:yes,educw,10
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,9
Mroz.csv,work:yes,educw,14
Mroz.csv,work:yes,educw,16
Mroz.csv,work:yes,educw,11
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,11
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,17
Mroz.csv,work:yes,educw,10
Mroz.csv,work:yes,educw,11
Mroz.csv,work:yes,educw,14
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,8
Mroz.csv,work:yes,educw,13
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,16
Mroz.csv,work:yes,educw,8
Mroz.csv,work:yes,educw,9
Mroz.csv,work:yes,educw,16
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,15
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,9
Mroz.csv,work:yes,educw,9
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,16
Mroz.csv,work:yes,educw,9
Mroz.csv,work:yes,educw,15
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,15
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,17
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,10
Mroz.csv,work:yes,educw,13
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,11
Mroz.csv,work:yes,educw,8
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,16
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,10
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,15
Mroz.csv,work:yes,educw,10
Mroz.csv,work:yes,educw,14
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,8
Mroz.csv,work:yes,educw,8
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,16
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,5
Mroz.csv,work:yes,educw,8
Mroz.csv,work:yes,educw,13
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,14
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,14
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,9
Mroz.csv,work:yes,educw,14
Mroz.csv,work:yes,educw,11
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,11
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,10
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,10
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,13
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,12
Mroz.csv,work:yes,educw,9
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,9
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,15
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,6
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,9
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,9
Mroz.csv,work:no,educw,15
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,9
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,15
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,9
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,5
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,9
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,9
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,9
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,15
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,7
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,9
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,9
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,9
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,7
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,6
Mroz.csv,work:no,educw,15
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,6
Mroz.csv,work:no,educw,16
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,15
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,14
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,8
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,11
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,17
Mroz.csv,work:no,educw,10
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,13
Mroz.csv,work:no,educw,12
Mroz.csv,work:no,educw,12
